iso3,annee,wgi_controle_corruption,wgi_efficacite_gouvernement,wgi_stabilite_politique,wgi_etat_droit,wgi_qualite_reglementaire
BEN,2000,-0.835158,-0.7956793,0.6165498,-0.284381799999999,-0.244053599999999
BEN,2002,-0.8409028,-0.6357049,0.6190757,-0.3909663,-0.555995
BEN,2003,-0.8428625,-0.6449496,0.5773695,-0.471632,-0.5559617
BEN,2004,-0.5094063,-0.4463045,0.1768396,-0.3862887,-0.6079913
BEN,2005,-0.7047019,-0.6133987,0.4644931,-0.403999,-0.4866853
BEN,2006,-0.4278956,-0.6931451,0.6060891,-0.2922983,-0.4800831
BEN,2007,-0.3382158,-0.6041193,0.4554713,-0.2593314,-0.466746599999999
BEN,2008,-0.3572345,-0.5327602,0.477051,-0.3488245,-0.5357423
BEN,2009,-0.447944599999999,-0.4612493,0.4200295,-0.407244599999999,-0.4130317
BEN,2010,-0.4991988,-0.4821387,0.3130091,-0.3935015,-0.4195411
BEN,2011,-0.4955475,-0.446753199999999,0.3444706,-0.4510183,-0.4622483
BEN,2012,-0.677392,-0.5014158,0.3524209,-0.427510399999999,-0.5416802
BEN,2013,-0.573860199999999,-0.5198363,0.3313874,-0.4894608,-0.5705637
BEN,2014,-0.6075837,-0.447104399999999,0.1371161,-0.4784921,-0.5574079
BEN,2015,-0.5072447,-0.5410404,0.117506,-0.4157073,-0.538424999999999
BEN,2016,-0.433568399999999,-0.4948066,0.2420032,-0.3859257,-0.4684046
BEN,2017,-0.402134,-0.46663,0.3155886,-0.3899186,-0.457321
BEN,2018,-0.292142199999999,-0.362429,0.1649971,-0.4319457,-0.451924599999999
BEN,2019,-0.2398967,-0.3133743,-0.197976799999999,-0.395343799999999,-0.4897407
BEN,2020,-0.0352655,-0.1887935,-0.283192699999999,-0.393457699999999,-0.436359599999999
BEN,2021,-0.1642663,-0.2018892,-0.4106645,-0.3852134,-0.3792796
BEN,2022,-0.1108108,-0.214913499999999,-0.4373008,-0.468466,-0.2859729
BEN,2023,-0.1047671,-0.216367999999999,-0.3096247,-0.390917399999999,-0.2359682
BEN,2024,-0.2407154,-0.1854211,-0.4030099,-0.4124793,-0.277262399999999
BFA,2000,-0.0198671999999999,-0.973968,0.0927698,-0.662652799999999,-0.2601063
BFA,2002,-0.0241316,-1.0826304,-0.2134057,-0.802362199999999,-0.1921245
BFA,2003,-0.0366614,-1.0893194,0.0624282,-0.7357604,-0.279226
BFA,2004,-0.2919893,-0.7835675,-0.1499539,-0.5249337,-0.632198599999999
BFA,2005,-0.3014107,-0.7423131,0.0426849,-0.5173694,-0.645759299999999
BFA,2006,-0.329758899999999,-0.8342122,0.1098282,-0.4016298,-0.509289099999999
BFA,2007,-0.363213299999999,-0.7284371,0.3576735,-0.3620362,-0.4141766
BFA,2008,-0.3391636,-0.588079799999999,0.1570962,-0.3501666,-0.2003633
